Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG
,,,,Airdodge,3-27,33,,,,,,,,,,,,,,Side 3: Headache Maker (Landing),1-2,39,4,361,60,100
,,,,,,,,,,,,,,,,,,,,Up 1: Soaring Axe Kick,16-,-,?,?,?,?
,,,,,,,,,,,,,,,,,,,,Up 1: Soaring Axe Kick (Fall),52-,-,?,?,?,?
,,,,,,,,,,,,,,,,,,,,Up 1: Soaring Axe Kick (Landing),2-3,41,4,45,45,170
,,,,,,,,,,,,,,,,,,,,"Up 2: Helicopter Kick (Ground, Hit 1)",8,-,3,75,W: 70,100
,,,,,,,,,,,,,,,,,,,,"Up 2: Helicopter Kick (Aerial, Hit 1)",8,-,?,?,?,?
,,,,,,,,,,,,,,,,,,,,Up 2: Helicopter Kick (Hits 2-5),"15-, 20-, 26-, 31-",-,?,?,?,?
,,,,,,,,,,,,,,,,,,,,"Up 2: Helicopter Kick (Ground, Hit 6)",36-37,-,6,55,60,155
,,,,,,,,,,,,,,,,,,,,"Up 2: Helicopter Kick (Aerial, Hit 6)",36-37,-,6,43,60,150
,,,,,,,,,,,,,,,,,,,,Up 3: Piston Punch (Hit 1),4-5,-,3,110,W: 150/30,100
,,,,,,,,,,,,,,,,,,,,Up 3: Piston Punch (Hits 2-3),"7-8, 10-11",-,1,366/110,W: 120,100
,,,,,,,,,,,,,,,,,,,,Up 3: Piston Punch (Hits 4-7),"13-14, 16-17, 19-20, 22-23",-,1,366/95,W: 150,100
,,,,,,,,,,,,,,,,,,,,Up 3: Piston Punch (Hit 8),25-26,-,2,89,74,180
,,,,,,,,,,,,,,,,,,,,Down 1: Head-On Assault (Hit 1),8 (Ground Only),59,4,0,53/43,10
,,,,,,,,,,,,,,,,,,,,Down 1: Head-On Assault (Falling),28-,-,8,270/361,25/30,120/50
,,,,,,,,,,,,,,,,,,,,Down 1: Head-On Assault (Landing),1,-,8,361/60,50/40,110/113
,,,,,,,,,,,,,,,,,,,,Down 2: Feint Jump,-,32,-,-,-,-
,,,,,,,,,,,,,,,,,,,,Down 2: Feint Jump (Attack),12-25,38,10 (+5),35/60,35,100
,,,,,,,,,,,,,,,,,,,,"Down 3: Foot Flurry (Ground, Hits 1-7)","16, 19, 22, 25, 28, 31, 34, 37",88,1,12/12/10,W: 70/120/50,100
,,,,,,,,,,,,,,,,,,,,"Down 3: Foot Flurry (Ground, Hit 8)",40,-,6,55,50,150
,,,,,,,,,,,,,,,,,,,,"Down 3: Foot Flurry (Aerial, Hits 1-6)","16, 19, 22, 25, 28, 31, 34",88,1,130/230,W: 40,100
,,,,,,,,,,,,,,,,,,,,"Down 3: Foot Flurry (Final Hit, Air)",40,-,6,55,50,140
